,Darija,English,MSA
2867,"غادي نكونو باسلين بزاف, أُ غادي نكميو جوج ڭوارووات سغار ديالي","We'll be really naughty, and smoke two of my small cigars as well.",سنكون أشقياء حقًا، وسندخن اثنين من سيجاري الصغيرة أيضًا.
2868,ماشي فيكرا خايبا,It's not a bad idea,ليست فكرة سيئة
2869,والاكين كيفاش نقدرو نطفيو السفّارا ديال لعافيا بدوخان,But how could we not turn off the fire alarm with the smoke,ولكن كيف لم نتمكن من إطفاء إنذار الحريق مع وجود الدخان
2870,"عقل, أخير مرا, رفضات","Remember, the last time, she had declined",تذكر، في المرة الأخيرة، كانت قد رفضت
2871,أُ لفرمليات ماكانوش فارحانين حيت كايسحاب ليهوم كانت لعافيا فلموأسّاسا,And the nurses were not happy because they thought there was a fire in the establishment,وكانت الممرضات غير سعيدات لأنهن ظنن أن هناك حريقًا في المنشأة
2872,غادي إخسّك تاحتافد ب نابيد أُ لڭارو كا سيرّ,You will have to keep the wine and cigars as a secret,سيتوجب عليك الاحتفاظ بالنبيذ والسيجار كسر
2873,"أه, والاكين معا دوخان ديال ڭارو, ماغاديش تبان ماخزونا بزاف","Yes, but with the smoke of the cigar, it's not very discreet.",نعم، ولكن مع دخان السيجار، فإنه ليس دقيقًا جدًا.
2874,غادي غير يخاسنا نمشيو لجاردا ب جوج ڭوارو أُ جوج كيسان,We will just have to go into the garden with two cigars and two glasses,سنضطر فقط للذهاب إلى الحديقة مع سيجارتين وكأسين
2875,تانا هناكل الحلوا,I'll also have the cake,سأتناول الكعكة أيضًا
2876,علاش ماتجيبش قارعا حتّا هيا,Why don't you bring a bottle as well,لماذا لا تحضر زجاجة أيضًا
2877,صحابني بيلا نتا مقسّح فڭاع لبلايس,I thought you hurt all over?,ظننت أنك تشعر بالألم في كل مكان؟
2878,بغيتي تمشي تشتاح,You want to go dancing?,هل تريد أن تذهب للرقص؟
2879,حتا حاجا مشيا اللبار ماغادي تخلّيها مامساوباش,Nothing that a visit to a night club wouldn't fix,لا شيء لا يمكن أن تصلحه زيارة إلى نادٍ ليلي
2880,"بلا إهانا, مامتءكّدش بيلا راك معروف بزاف بين لبنات","No offense, I'm not sure you're very popular with young women.",بدون إساءة، لست متأكدًا من أنك محبوب جدًا لدى النساء الشابات.
2881,"منين كايسكر بنادم, ماغايهتمش ب سناني","When people get drunk, they won't care about my teeth",عندما يسكر الناس، لن يهتموا بأسناني
2882,بسّاح.,That's right.,هذا صحيح.
2883, تعليق ديالك كان فشكل.,Your comment was a bit odd.,كان تعليقك غريباً بعض الشيء.
2884,نتا راه شيبه عما.,You're nearly blind,أنت شبه أعمى
2885,ماكانش هوجومي والاكين كان معقول,It wasn't offensive but realistic,لم يكن مسيئًا بل واقعيًا
2886,والاكين كانتافق معاك...,But I agree with you...,ولكني أتفق معك...
2887,"حتا أنا,بسنان ديالي إستيناعييين أُندادري لكبار, ماشي زوينا بزف...","Me too, with my false teeth and my huge glasses, I'm not very attractive...",أنا أيضًا، مع أسناني المزيفة ونظارتي الضخمة، لست جذابًا كثيرًا...
2888,وصلات.,she has arrived.,لقد وصلت.
2889,راها خدات معاها بنتي.,She's taken my daughter.,لقد أخذت ابنتي.
2890,هاني مشيت نعس.,I'm off to bed.,أنا ذاهب إلى الفراش.
2891,قلب علا لبار ديالك,Find your own night club,اعثر على نادي ليلي خاص بك
2892,كانضن أناني أديتك...,I think I hurt you...,أعتقد أنني آذيتك...
2893,والاكين عقل... ألا كنا سغار أُزونين... حنا دابا كبار,But remember... if we were young and beautiful... we are now old,ولكن تذكر... إذا كنا صغارًا وجميلين... نحن الآن كبار في السن
2894,أُ حتا سنان لإستيناعييا,Including false teeth,بما في ذلك الأسنان الصناعية
2895,أنا غي عاسابي هاد ليلا,I'm just irritable tonight,أنا متضايق فقط الليلة
2896,نشوفوك أ خونا,See you later brother,أراك لاحقًا أخي
2897,تسباح علا خير,Good night,تصبح على خير
2898,عفاك ڭلاس.,Please take a seat.,الرجاء الجلوس.
2899,إمكانك تحات لمونتو فلعلاق تما.,You can put your coat on the hook over there.,يمكنك وضع معطفك على الخطاف هناك.
2900,"إوا, شنو لي جاباك لهنا ليوما?","So, what brings you here today?",إذًا، ما الذي جاء بك إلى هنا اليوم؟
2901,"دوكتور, دازو بزف ديال ليالي مالي كانت كانعس","Doctor, it's been several nights since I've been sleeping",دكتور، لقد مرت عدة ليال منذ أن كنت أنام
2902,كاينا شي حاجا مقلقاني.,There's something I'm worried about.,هناك شيء أقلق بشأنه.
2903,كالكين ماعرفتش شنو,But I just can't figure out what,ولكني لا أستطيع أن أفهم ما
2904,"واخا, مومكين نحاولو ناعرفوه بجوجنا!","Well, we could try to figure it out together!",حسنًا، يمكننا أن نحاول معًا أن نجد حلاً!
2905,باش نكونو واضحين,Just to be clear,لكي أكون واضحًا
2906,واش كاتقسد أناك كاتعاني باش تنعاس أُلا كاتنعس بزاف?,do you mean you're struggling to sleep or that you're sleeping too much?,هل تقصد أنك تجد صعوبة في النوم أم أنك تنام كثيرًا؟
2907,أنا ماشي ناعس.,I'm not sleeping.,أنا لا أنام.
2908,كانحول نعرف شنو كايدور فراسّي.,I'm trying to figure out what's on my mind.,أنا أحاول أن أفهم ما يدور في ذهني.
2909,أُ إلا نعست كايكون عاندي أحلام غاريبا.,"And if I get to sleep, I have strange dreams.",وإذا نمت، أحلم بأحلام غريبة.
2910,شنو كايترا فهاد ل أحلام ديالك?,What happens in these dreams of yours?,ما الذي يحدث في هذه الأحلام التي تراها؟
2911,واش مومكين تفكر فأي إرتيبات موحتمال بحيتاك أليومييا?,Can you think of any possible link to your day-to-day life?,هل يمكنك التفكير في أي رابط ممكن بحياتك اليومية؟
2912,"أه, مومكين.","Yes, it is possible.",نعم، إنه ممكن.
2913,أُلا مومكين ألا.,Or maybe not.,أو ربما لا.
2914,مومكين هووا شي حاجا قاديما.,Maybe it's an older thing.,ربما هي شيء قديم.
2915,واش مومكين توصف أخير حولم ديالك?,Can you perhaps describe your latest dream?,هل يمكنك وصف أحدث حلم لك؟
2916,أه,Yes,نعم
2917,أنا فحاوض ديال ألحوت,I'm in an aquarium,أنا في حوض السمك
2918,كولشي مادلم حدايا,Everything is dark around me,كل شيء مظلم حولي
2919,أها... كمّل.,Uh huh... go on.,أممم... تابع.
2920,كانتاقل بسوهولا بين لحجار أُل أعشاب ألبحرييا,I move easily between rocks and seaweed,أتحرك بسهولة بين الصخور والأعشاب البحرية
2921,"لحاود ديال لحوت زوين, مايمكانش لييا نشوف شراجام","The aquarium is awesome, I can't see the windows",الحوض الزجاجي رائع، لا أستطيع رؤية النوافذ
2922,لحوتا كاتڭول سالام,The fish say hello,تُحَيِّي الأسماك
2923,شي ناس ماكايعرفونيش,Some people don't know me,بعض الناس لا يعرفونني
2924,كاتعرفهوم?,Do you know them?,هل تعرفهم؟
2925,كاتعرف لحوت تاهووا?,Do you know the fish too?,هل تعرف السمك أيضًا؟
2926,فايت ليك كاتعرفهوم?,Are they familiar to you?,هل هم مألوفون لك؟
2927,ماكنعرفش سميتهوم.,I don't know their names.,لا أعرف أسماءهم.
2928,بڭاع ألقيياسات,Of all sizes,بجميع الأحجام
2929,بڭاع ل أحجام,Of all sizes,بجميع الأحجام
2930,كانأمان بجاد حورييات ألبحر ساغيرا تاهوا,I believe the grandfather of the little mermaid too,أنا أصدق جد الحورية الصغيرة أيضًا
2931,كاتقسد أناهو حتا هووا كاين تمّا,You mean that he's there too?,تقصد أنه هناك أيضًا؟
2932,أش كايدير فلحاوض?,What is he doing in the aquarium?,ماذا يفعل في الحوض الزجاجي؟
2933,"أه, هوا هاداك.","Yes, he is.",نعم، هو كذلك.
2934,راه كايطاياب لبايد علا طاباق.,He's cooking eggs on the plate.,إنه يطبخ البيض على الصحن.
2935,هادشي موتير ليلإهتيمام?,That's interesting?,ذلك مثير للاهتمام؟
2936,هادشي موتير?,That's interesting?,ذلك مثير للاهتمام؟
2937,واش كاين دجاج تماك تاهوا?,Are there chickens there too?,هل يوجد دجاج هناك أيضًا؟
2938,هادشي مومكين إكون موتير ليلإهتيمام.,This could be very interesting.,قد يكون هذا مثيرًا للاهتمام جدًا.
2939,هادشي مومكين إكون موتير.,This could be very interesting.,قد يكون هذا مثيرًا للاهتمام جدًا.
